country,country_slug,project,trade,investment,industrial,sufficient_dimensions,partial_dimensions,unavailable_dimensions,project_database_coverage,recorded_project_count,reliable_project_count,trade_latest_year,china_fdi_source_tier,china_fdi_comparison_status,overall_gate_status,priority_gaps
"波兰","poland","insufficient","sufficient","partial","insufficient","1","1","2","partial","3","2","2024","1","comparable","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:china_linked_industrial_project_presence""]"
"匈牙利","hungary","partial","sufficient","partial","partial","1","3","0","representative","3","3","2024","1","comparable","unavailable","[""investment:china_fdi_stock_share""]"
"捷克","czechia","insufficient","sufficient","partial","insufficient","1","1","2","partial","3","1","2024","1","comparable","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:china_linked_industrial_project_presence""]"
"斯洛伐克","slovakia","insufficient","sufficient","partial","partial","1","2","1","partial","2","2","2024","1","comparable","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share""]"
"德国","germany","insufficient","sufficient","partial","insufficient","1","1","2","partial","2","2","2024","1","comparable","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:germany_export_dependence""]"
"罗马尼亚","romania","insufficient","sufficient","partial","insufficient","1","1","2","sparse","1","1","2024","2","partial","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:china_linked_industrial_project_presence""]"
"斯洛文尼亚","slovenia","insufficient","sufficient","partial","insufficient","1","1","2","sparse","1","1","2024","2","partial","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:china_linked_industrial_project_presence""]"
"塞尔维亚","serbia","partial","sufficient","partial","partial","1","3","0","partial","2","2","2024","2","partial","unavailable","[""investment:china_fdi_stock_share""]"
"奥地利","austria","insufficient","sufficient","partial","insufficient","1","1","2","sparse","1","1","2024","2","partial","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:china_linked_industrial_project_presence""]"
"克罗地亚","croatia","insufficient","sufficient","partial","insufficient","1","1","2","sparse","1","1","2024","2","partial","unavailable","[""project:eligible_project_count"",""project:active_project_share"",""project:project_sector_concentration"",""investment:china_fdi_stock_share"",""industrial:china_linked_industrial_project_presence""]"
