country,country_slug,dimension,status,data_completeness,available_variables,missing_variables,source_reliability,definition_comparable,source_trace_available,project_database_coverage,qa_status,coverage_note
"波兰","poland","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","representative_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"波兰","poland","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"波兰","poland","investment","partial","100","[""china_fdi_stock_share""]","[""china_fdi_stock_share""]","[""A""]","true","true",,"partial","Immediate-counterpart BMD4 position is available for China and World."
"波兰","poland","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"匈牙利","hungary","project","insufficient","17","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""A""]","true","true","representative_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"匈牙利","hungary","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"匈牙利","hungary","investment","partial","100","[""china_fdi_stock_share""]","[""china_fdi_stock_share""]","[""A""]","true","true",,"partial","Immediate-counterpart BMD4 position is available for China and World."
"匈牙利","hungary","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"捷克","czechia","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","representative_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"捷克","czechia","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"捷克","czechia","investment","partial","100","[""china_fdi_stock_share""]","[""china_fdi_stock_share""]","[""A""]","true","true",,"partial","Immediate-counterpart BMD4 position is available for China and World."
"捷克","czechia","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"斯洛伐克","slovakia","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","insufficient_project_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"斯洛伐克","slovakia","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"斯洛伐克","slovakia","investment","partial","100","[""china_fdi_stock_share""]","[""china_fdi_stock_share""]","[""A""]","true","true",,"partial","Immediate-counterpart BMD4 position is available for China and World."
"斯洛伐克","slovakia","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"德国","germany","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","representative_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"德国","germany","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"德国","germany","investment","partial","100","[""china_fdi_stock_share""]","[""china_fdi_stock_share""]","[""A""]","true","true",,"partial","Immediate-counterpart BMD4 position is available for China and World."
"德国","germany","industrial","insufficient","54","[""manufacturing_share_gdp"",""automotive_export_share"",""industrial_electricity_price""]","[""germany_export_dependence"",""industrial_dependency_score"",""china_linked_industrial_project_presence""]","[""A""]","true","true",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"罗马尼亚","romania","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","insufficient_project_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"罗马尼亚","romania","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"罗马尼亚","romania","investment","unavailable","0","[]","[""china_fdi_stock_share""]","[]","true","true",,"unavailable","缺少同口径 China-origin FDI position。"
"罗马尼亚","romania","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"斯洛文尼亚","slovenia","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","insufficient_project_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"斯洛文尼亚","slovenia","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"斯洛文尼亚","slovenia","investment","unavailable","0","[]","[""china_fdi_stock_share""]","[]","true","true",,"unavailable","缺少同口径 China-origin FDI position。"
"斯洛文尼亚","slovenia","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"塞尔维亚","serbia","project","partial","100","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[]","[""A""]","true","true","representative_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"塞尔维亚","serbia","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"塞尔维亚","serbia","investment","unavailable","0","[]","[""china_fdi_stock_share""]","[]","true","true",,"unavailable","缺少同口径 China-origin FDI position。"
"塞尔维亚","serbia","industrial","partial","100","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score"",""china_linked_industrial_project_presence""]","[]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"奥地利","austria","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","insufficient_project_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"奥地利","austria","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"奥地利","austria","investment","unavailable","0","[]","[""china_fdi_stock_share""]","[]","true","true",,"unavailable","缺少同口径 China-origin FDI position。"
"奥地利","austria","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"克罗地亚","croatia","project","insufficient","0","[""eligible_project_count""]","[""eligible_project_count"",""active_project_share"",""project_sector_concentration""]","[""D""]","true","false","insufficient_project_coverage","partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
"克罗地亚","croatia","trade","sufficient","100","[""china_export_share"",""china_import_share"",""china_trade_share""]","[]","[""A""]","true","true",,"passed","货物贸易维度可比较，但不覆盖服务贸易。"
"克罗地亚","croatia","investment","unavailable","0","[]","[""china_fdi_stock_share""]","[]","true","true",,"unavailable","缺少同口径 China-origin FDI position。"
"克罗地亚","croatia","industrial","insufficient","83","[""manufacturing_share_gdp"",""automotive_export_share"",""germany_export_dependence"",""industrial_electricity_price"",""industrial_dependency_score""]","[""china_linked_industrial_project_presence""]","[""A""]","true","false",,"partial","项目库尚非完整普查，因此只允许部分结果，不进入国家总分。"
