country,country_slug,dimension,year,source,source_url,source_reliability,related_observation_ids,related_project_ids,variable_id,raw_value,unit,calculation_method,data_completeness,model_eligible,limitation_note,calculation_trace,normalized_score,weight
"波兰","poland","project",,"待接入",,"D","[]","[]","eligible_project_count","0","projects","count verified, quantifiable A/B-source projects","0","false","只接纳已核验、可量化且为 A/B 级来源的项目；项目库不是企业总体普查，少于两项时不形成可比项目分数。",,"0","0.45"
"波兰","poland","project",,"待接入",,"D","[]","[]","active_project_share",,"% eligible projects","active eligible projects / eligible projects * 100","0","false","项目状态来自核验记录，不能替代官方投资存量。",,,"0.3"
"波兰","poland","project",,"待接入",,"D","[]","[]","project_sector_concentration",,"% eligible projects","largest eligible project sector count / eligible projects * 100","0","false","小样本集中度容易受单个项目影响，只作为项目维度内部描述。",,,"0.25"
"波兰","poland","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_export_share","0.943","% goods trade","exports_to_China / exports_to_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":3584888550,""denominator"":380333187161,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_China / exports_to_world * 100""}","9.4","0.35"
"波兰","poland","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=M&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_import_share","14.512","% goods trade","imports_from_China / imports_from_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":55071604745,""denominator"":379496069834,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=M&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=M&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""imports_from_China / imports_from_world * 100""}","72.6","0.35"
"波兰","poland","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_trade_share","7.72","% goods trade","(exports_to_China + imports_from_China) / (exports_to_world + imports_from_world) * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":58656493295,""denominator"":759829256995,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""(exports_to_China + imports_from_China) / (exports_to_world + imports_from_world) * 100""}","51.5","0.3"
"波兰","poland","investment",,"待接入统一 China-origin FDI source",,"D","[]","[]","china_origin_fdi_stock_or_flow",,"million EUR","not calculated","0","false","普通 FDI 流量不等于中国来源 FDI；0 项项目金额记录因币种、状态与概念不同，仅保留在项目库，不合并。",,,"1"
"波兰","poland","industrial","2025","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_a10?lang=en&freq=A&unit=PC_GDP&na_item=B1G&nace_r2=C&geo=PL&sinceTimePeriod=2025&untilTimePeriod=2025","A","[""v4:poland:manufacturing_share_gdp:2025""]","[]","manufacturing_share_gdp","14.4","%","无","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。",,"29.3","0.2"
"波兰","poland","industrial","2024","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&geo=PL&sinceTimePeriod=2024&untilTimePeriod=2024","A","[""v4:poland:automotive_export_share:2024""]","[]","automotive_export_share","14.981","%","NACE_C29_exports / total_NACE_exports * 100","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":38671567,""denominator"":258129974,""numerator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&geo=PL&sinceTimePeriod=2024&untilTimePeriod=2024"",""denominator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=TOTAL&geo=PL&sinceTimePeriod=2024&untilTimePeriod=2024"",""formula"":""NACE_C29_exports / total_NACE_exports * 100""}","25","0.25"
"波兰","poland","industrial","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[""transmission:poland:germany_export_dependence:2024""]","[]","germany_export_dependence","27.063","% exports","exports_to_Germany / exports_to_world * 100","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":102929212719,""denominator"":380333187161,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_Germany / exports_to_world * 100""}","56.9","0.15"
