country,country_slug,project_database_coverage,recorded_project_count,reliable_source_project_count,eligible_project_count,active_project_count,cancelled_or_suspended_count,completed_or_transferred_count,duplicate_project_ids,duplicate_company_names_for_review,currency_mismatch_project_ids,announced_vs_verified_amount_review_ids,inconsistent_year_project_ids,country_assignment_review_ids,sector_classification_review_ids,fdi_stock_flow_separated,project_value_fdi_double_count_prevented,review_required_project_ids,coverage_note
"波兰","poland","representative_coverage","3","2","0","2","1","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","代表性项目记录已接入，但项目库不是企业总体普查；未记录项目不能解释为零暴露。"
"匈牙利","hungary","representative_coverage","3","2","1","2","0","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","代表性项目记录已接入，但项目库不是企业总体普查；未记录项目不能解释为零暴露。"
"捷克","czechia","representative_coverage","3","1","0","3","0","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","代表性项目记录已接入，但项目库不是企业总体普查；未记录项目不能解释为零暴露。"
"斯洛伐克","slovakia","insufficient_project_coverage","2","0","0","2","0","0","[]","[""gotion high-tech""]","[]","[]","[]","[]","[]","true","true","[]","代表性项目记录已接入，但项目库不是企业总体普查；未记录项目不能解释为零暴露。"
"德国","germany","representative_coverage","2","1","0","2","0","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","代表性项目记录已接入，但项目库不是企业总体普查；未记录项目不能解释为零暴露。"
"罗马尼亚","romania","insufficient_project_coverage","1","1","0","0","1","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","仅有单项代表性记录，仍属项目覆盖不足；未记录项目不能解释为零暴露。"
"斯洛文尼亚","slovenia","insufficient_project_coverage","1","1","0","1","0","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","仅有单项代表性记录，仍属项目覆盖不足；未记录项目不能解释为零暴露。"
"塞尔维亚","serbia","representative_coverage","2","2","2","2","0","0","[]","[]","[]","[""rs-linglong-zrenjanin-tire"",""rs-zijin-rtb-bor""]","[]","[]","[]","true","true","[""rs-linglong-zrenjanin-tire"",""rs-zijin-rtb-bor""]","代表性项目记录已接入，但项目库不是企业总体普查；未记录项目不能解释为零暴露。"
"奥地利","austria","insufficient_project_coverage","1","1","0","1","0","0","[]","[]","[]","[]","[]","[]","[]","true","true","[]","仅有单项代表性记录，仍属项目覆盖不足；未记录项目不能解释为零暴露。"
"克罗地亚","croatia","insufficient_project_coverage","1","1","0","0","0","1","[]","[]","[]","[]","[]","[]","[]","true","true","[]","仅有单项代表性记录，仍属项目覆盖不足；未记录项目不能解释为零暴露。"
