country,country_slug,sector,status,project_ids,current_project_count,historical_project_count,source_reliability,model_eligible,double_counting_rule
"波兰","poland","battery","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"波兰","poland","automotive","cancelled","[""pl-leapmotor-tychy-assembly""]","0","1","[""B""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"波兰","poland","electronics","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"波兰","poland","logistics","no_verified_evidence","[""pl-china-europe-rail-malaszewicze""]","1","0","[""C""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"波兰","poland","infrastructure","no_verified_evidence","[""pl-china-europe-rail-malaszewicze""]","1","0","[""C""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"波兰","poland","energy","cancelled","[""pl-leapmotor-tychy-assembly""]","0","1","[""B""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"匈牙利","hungary","battery","verified_active","[""hu-catl-debrecen""]","1","0","[""B""]","true","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"匈牙利","hungary","automotive","announced","[""hu-byd-szeged""]","0","0","[""B""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"匈牙利","hungary","electronics","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"匈牙利","hungary","logistics","verified_active","[""hu-budapest-belgrade-rail""]","1","0","[""A""]","true","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"匈牙利","hungary","infrastructure","verified_active","[""hu-budapest-belgrade-rail""]","1","0","[""A""]","true","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"匈牙利","hungary","energy","announced","[""hu-byd-szeged""]","0","0","[""B""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"捷克","czechia","battery","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"捷克","czechia","automotive","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"捷克","czechia","electronics","no_verified_evidence","[""cz-changhong-nymburk""]","1","0","[""C""]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"捷克","czechia","logistics","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"捷克","czechia","infrastructure","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"捷克","czechia","energy","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"斯洛伐克","slovakia","battery","verified_active","[""sk-gotion-inobat-surany"",""sk-gotion-inobat-equity""]","2","0","[""A"",""B""]","true","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"斯洛伐克","slovakia","automotive","verified_active","[""sk-gotion-inobat-surany""]","1","0","[""A""]","true","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
"斯洛伐克","slovakia","electronics","no_verified_evidence","[]","0","0","[]","false","Project and industrial dimensions may cite the same fact for different meanings; a project amount is never added twice to an overall score."
