country,country_slug,year,china_export_share,china_import_share,china_trade_share,source,source_url,source_reliability,qa_status,use
"Austria","austria","2021","2.928","7.344","5.224","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=40&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Austria","austria","2022","2.719","8.113","5.559","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=40&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Austria","austria","2023","2.537","7.458","5.014","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=40&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Austria","austria","2024","2.784","8.19","5.474","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=40&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Croatia","croatia","2021","0.484","3.6","2.376","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=191&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Croatia","croatia","2022","0.359","3.276","2.211","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=191&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Croatia","croatia","2023","0.344","3.238","2.176","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=191&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Croatia","croatia","2024","0.467","3.442","2.359","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=191&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Czechia","czechia","2021","1.32","16.512","8.662","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Czechia","czechia","2022","1.127","18.77","9.849","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Czechia","czechia","2023","1.031","17.602","8.897","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Czechia","czechia","2024","1.266","17.093","8.695","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Germany","germany","2021","7.556","11.977","9.614","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=276&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Germany","germany","2022","6.721","13","9.768","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=276&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Germany","germany","2023","6.193","11.811","8.794","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=276&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Germany","germany","2024","5.802","12.312","8.783","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=276&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Hungary","hungary","2021","1.754","7.062","4.389","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Hungary","hungary","2022","1.528","6.736","4.211","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Hungary","hungary","2023","1.217","6.601","3.84","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Hungary","hungary","2024","1.251","6.784","3.917","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Poland","poland","2021","1.045","14.805","8.11","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Poland","poland","2022","0.86","14.701","7.975","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Poland","poland","2023","0.867","13.873","7.279","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Poland","poland","2024","0.943","14.512","7.72","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=616&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Romania","romania","2021","1.518","5.48","3.77","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=642&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Romania","romania","2022","1.187","5.139","3.472","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=642&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Romania","romania","2023","0.92","5.539","3.541","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=642&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Romania","romania","2024","0.777","6.233","3.921","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=642&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Serbia","serbia","2021","3.695","12.306","8.597","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=688&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Serbia","serbia","2022","4.014","12.11","8.759","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2022&reporterCode=688&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Serbia","serbia","2023","4.003","12.223","8.629","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2023&reporterCode=688&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Serbia","serbia","2024","5.888","13.144","9.96","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=688&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
"Slovakia","slovakia","2021","2.544","7.282","4.918","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2021&reporterCode=703&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","passed","trend_context_only"
