country_id,layer_id,admin_level,definition,unit,available_years,latest_available_year,comparison_eligible,blocker
"poland","regional_boundary","ADM1","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"poland","regional_population","ADM1","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_gdp","ADM1","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_gdp_per_capita","ADM1","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_unemployment_rate","ADM1","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"poland","regional_manufacturing_share","ADM1","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"poland","china_project_locations","ADM1","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"hungary","regional_boundary","NUTS3","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"hungary","regional_population","NUTS3","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"hungary","regional_gdp","NUTS3","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"hungary","regional_gdp_per_capita","NUTS3","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"hungary","regional_unemployment_rate","NUTS3","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"hungary","regional_manufacturing_share","NUTS3","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"hungary","china_project_locations","NUTS3","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"czechia","regional_boundary","NUTS3","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"czechia","regional_population","NUTS3","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"czechia","regional_gdp","NUTS3","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"czechia","regional_gdp_per_capita","NUTS3","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"czechia","regional_unemployment_rate","NUTS3","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"czechia","regional_manufacturing_share","NUTS3","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"czechia","china_project_locations","NUTS3","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"slovakia","regional_boundary","NUTS3","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"slovakia","regional_population","NUTS3","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"slovakia","regional_gdp","NUTS3","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"slovakia","regional_gdp_per_capita","NUTS3","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"slovakia","regional_unemployment_rate","NUTS3","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"slovakia","regional_manufacturing_share","NUTS3","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"slovakia","china_project_locations","NUTS3","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"germany","regional_boundary","NUTS1","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"germany","regional_population","NUTS1","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"germany","regional_gdp","NUTS1","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"germany","regional_gdp_per_capita","NUTS1","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"germany","regional_unemployment_rate","NUTS1","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"germany","regional_manufacturing_share","NUTS1","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"germany","china_project_locations","NUTS1","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"romania","regional_boundary","NUTS3","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"romania","regional_population","NUTS3","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"romania","regional_gdp","NUTS3","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"romania","regional_gdp_per_capita","NUTS3","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"romania","regional_unemployment_rate","NUTS3","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"romania","regional_manufacturing_share","NUTS3","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"romania","china_project_locations","NUTS3","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"slovenia","regional_boundary","NUTS2","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"slovenia","regional_population","NUTS2","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"slovenia","regional_gdp","NUTS2","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"slovenia","regional_gdp_per_capita","NUTS2","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"slovenia","regional_unemployment_rate","NUTS2","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"slovenia","regional_manufacturing_share","NUTS2","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"slovenia","china_project_locations","NUTS2","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"serbia","regional_boundary","ADM1","已核验行政边界。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"serbia","regional_population","ADM1","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"serbia","regional_gdp","ADM1","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"serbia","regional_gdp_per_capita","ADM1","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"serbia","regional_unemployment_rate","ADM1","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"serbia","regional_manufacturing_share","ADM1","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"serbia","china_project_locations","ADM1","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","official_boundary_correspondence_and_regional_comparability_pending"
"austria","regional_boundary","NUTS2","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"austria","regional_population","NUTS2","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"austria","regional_gdp","NUTS2","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"austria","regional_gdp_per_capita","NUTS2","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"austria","regional_unemployment_rate","NUTS2","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"austria","regional_manufacturing_share","NUTS2","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"austria","china_project_locations","NUTS2","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","no_high_or_medium_confidence_project_reference"
"croatia","regional_boundary","NUTS3","已核验行政边界。","not_applicable","[]","unavailable","false","该图层不参与跨国数值比较。"
"croatia","regional_population","NUTS3","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"croatia","regional_gdp","NUTS3","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"croatia","regional_gdp_per_capita","NUTS3","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"croatia","regional_unemployment_rate","NUTS3","区域劳动力指标，后续需统一年龄口径和统计频率。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"croatia","regional_manufacturing_share","NUTS3","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。","not_applicable","[]","unavailable","false","complete_regional_observations_unavailable"
"croatia","china_project_locations","NUTS3","经来源核验的城市或区域参考位置；不代表项目影响。","not_applicable","[]","unavailable","false","no_high_or_medium_confidence_project_reference"
