check_id,country_id,indicator_id,year,value,unit,status,source_name,source_url,source_reliability_level,updated_at,is_official_data,is_pending,is_computed,is_manual,included_in_derived_comparison,included_in_five_year_change,included_in_mean_gap,included_in_rank_change,missing_reason,note
"v4_quality:poland:fiscal_deficit_gdp:2021","poland","fiscal_deficit_gdp","2021","-1.7","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=PL&time=2021","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:fiscal_deficit_gdp:2022","poland","fiscal_deficit_gdp","2022","-3.4","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=PL&time=2022","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:fiscal_deficit_gdp:2023","poland","fiscal_deficit_gdp","2023","-5.2","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=PL&time=2023","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:fiscal_deficit_gdp:2024","poland","fiscal_deficit_gdp","2024","-6.4","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=PL&time=2024","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:fiscal_deficit_gdp:2025","poland","fiscal_deficit_gdp","2025","-7.3","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=B9&geo=PL&time=2025","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:government_debt_gdp:2021","poland","government_debt_gdp","2021","53","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=PL&time=2021","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:government_debt_gdp:2022","poland","government_debt_gdp","2022","48.8","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=PL&time=2022","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:government_debt_gdp:2023","poland","government_debt_gdp","2023","49.5","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=PL&time=2023","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:government_debt_gdp:2024","poland","government_debt_gdp","2024","54.8","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=PL&time=2024","A","2026-04-22","true","false","false","false","true","true","true","true","",""
"v4_quality:poland:government_debt_gdp:2025","poland","government_debt_gdp","2025","59.7","% GDP","official","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?unit=PC_GDP&sector=S13&na_item=GD&geo=PL&time=2025","A","2026-04-22","true","false","false","false","true","true","true","true","",""
