comparison_id,comparison_scope,section,indicator_id,indicator_name,latest_comparable_year,country_values,eligible_countries,excluded_countries,poland_value,hungary_value,czechia_value,slovakia_value,unit,highest_value,highest_country,lowest_value,lowest_country,v4_average,ten_country_comparable_average,poland_gap_from_v4_average,hungary_gap_from_v4_average,czechia_gap_from_v4_average,slovakia_gap_from_v4_average,largest_gap_country,largest_gap_value,poland_five_year_change,hungary_five_year_change,czechia_five_year_change,slovakia_five_year_change,largest_five_year_change_country,largest_five_year_change_value,poland_rank,hungary_rank,czechia_rank,slovakia_rank,missing_observation_count,calculated_value_count,comparison_status,interpretation_boundary,notes
"ten_country_derived_comparison:fiscal_balance_gdp","ten_country_comparable_subset","财政","fiscal_balance_gdp","财政赤字/GDP","2024","[{""country_id"":""poland"",""value"":-6.4},{""country_id"":""hungary"",""value"":-5.1},{""country_id"":""czechia"",""value"":-2},{""country_id"":""slovakia"",""value"":-5.3},{""country_id"":""germany"",""value"":-2.7},{""country_id"":""romania"",""value"":-9.3},{""country_id"":""slovenia"",""value"":-0.9},{""country_id"":""serbia"",""value"":null},{""country_id"":""austria"",""value"":-4.6},{""country_id"":""croatia"",""value"":-2.3}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""austria"",""croatia""]","[""serbia""]","-6.4","-5.1","-2","-5.3","% GDP","-0.9","slovenia","-9.3","romania","-4.288888888888888","-4.288888888888888","-2.1111111111111125","-0.8111111111111118","2.288888888888888","-1.011111111111112","romania","-5.011111111111113",,,,,"",,"8","6","2","7","5","0","部分可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:government_debt_gdp","ten_country_comparable_subset","财政","government_debt_gdp","政府债务/GDP","2025","[{""country_id"":""poland"",""value"":59.7},{""country_id"":""hungary"",""value"":74.6},{""country_id"":""czechia"",""value"":44.3},{""country_id"":""slovakia"",""value"":61.4},{""country_id"":""germany"",""value"":63.5},{""country_id"":""romania"",""value"":59.3},{""country_id"":""slovenia"",""value"":65.7},{""country_id"":""serbia"",""value"":null},{""country_id"":""austria"",""value"":81.5},{""country_id"":""croatia"",""value"":56.3}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""austria"",""croatia""]","[""serbia""]","59.7","74.6","44.3","61.4","% GDP","81.5","austria","44.3","czechia","62.92222222222222","62.92222222222222","-3.2222222222222143","11.677777777777777","-18.62222222222222","-1.5222222222222186","czechia","-18.62222222222222",,,,,"",,"6","2","9","5","5","0","部分可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:government_revenue_gdp","ten_country_comparable_subset","财政","government_revenue_gdp","财政收入/GDP","2025","[{""country_id"":""poland"",""value"":43.6},{""country_id"":""hungary"",""value"":42.6},{""country_id"":""czechia"",""value"":41},{""country_id"":""slovakia"",""value"":43.5},{""country_id"":""germany"",""value"":47.9},{""country_id"":""romania"",""value"":35.4},{""country_id"":""slovenia"",""value"":47.1},{""country_id"":""serbia"",""value"":null},{""country_id"":""austria"",""value"":51},{""country_id"":""croatia"",""value"":47.1}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""austria"",""croatia""]","[""serbia""]","43.6","42.6","41","43.5","% GDP","51","austria","35.4","romania","44.35555555555556","44.35555555555556","-0.75555555555556","-1.75555555555556","-3.3555555555555614","-0.8555555555555614","romania","-8.955555555555563",,,,,"",,"5","7","8","6","5","0","部分可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:government_expenditure_gdp","ten_country_comparable_subset","财政","government_expenditure_gdp","财政支出/GDP","2025","[{""country_id"":""poland"",""value"":50.9},{""country_id"":""hungary"",""value"":47.3},{""country_id"":""czechia"",""value"":43.2},{""country_id"":""slovakia"",""value"":47.9},{""country_id"":""germany"",""value"":50.5},{""country_id"":""romania"",""value"":43.3},{""country_id"":""slovenia"",""value"":49.6},{""country_id"":""serbia"",""value"":null},{""country_id"":""austria"",""value"":55.2},{""country_id"":""croatia"",""value"":50.1}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""austria"",""croatia""]","[""serbia""]","50.9","47.3","43.2","47.9","% GDP","55.2","austria","43.2","czechia","48.666666666666664","48.666666666666664","2.2333333333333343","-1.3666666666666671","-5.4666666666666615","-0.7666666666666657","austria","6.5333333333333385",,,,,"",,"2","7","9","6","5","0","部分可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:exports_goods_services","ten_country_comparable_subset","外部经济","exports_goods_services","出口","2025","[{""country_id"":""poland"",""value"":461553.9},{""country_id"":""hungary"",""value"":158940},{""country_id"":""czechia"",""value"":232043},{""country_id"":""slovakia"",""value"":116370.6},{""country_id"":""germany"",""value"":1800049},{""country_id"":""romania"",""value"":134861},{""country_id"":""slovenia"",""value"":55430},{""country_id"":""serbia"",""value"":48161},{""country_id"":""austria"",""value"":282784.7},{""country_id"":""croatia"",""value"":44602.2}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""serbia"",""austria"",""croatia""]","[]","461553.9","158940","232043","116370.6","百万欧元","1800049","germany","44602.2","croatia","333479.54000000004","333479.54000000004","128074.35999999999","-174539.54000000004","-101436.54000000004","-217108.94000000003","germany","1466569.46",,,,,"",,"2","5","4","7","0","0","可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:imports_goods_services","ten_country_comparable_subset","外部经济","imports_goods_services","进口","2025","[{""country_id"":""poland"",""value"":435690.7},{""country_id"":""hungary"",""value"":149132.8},{""country_id"":""czechia"",""value"":211882.8},{""country_id"":""slovakia"",""value"":116580.1},{""country_id"":""germany"",""value"":1693449},{""country_id"":""romania"",""value"":154799.5},{""country_id"":""slovenia"",""value"":51649.4},{""country_id"":""serbia"",""value"":51971.5},{""country_id"":""austria"",""value"":271047.2},{""country_id"":""croatia"",""value"":49290.1}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""serbia"",""austria"",""croatia""]","[]","435690.7","149132.8","211882.8","116580.1","百万欧元","1693449","germany","49290.1","croatia","318549.31","318549.31","117141.39000000001","-169416.51","-106666.51000000001","-201969.21","germany","1374899.69",,,,,"",,"2","6","4","7","0","0","可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:trade_balance","ten_country_comparable_subset","外部经济","trade_balance","贸易差额","2025","[{""country_id"":""poland"",""value"":25863.2},{""country_id"":""hungary"",""value"":9807.2},{""country_id"":""czechia"",""value"":20160.2},{""country_id"":""slovakia"",""value"":-209.5},{""country_id"":""germany"",""value"":106600},{""country_id"":""romania"",""value"":-19938.5},{""country_id"":""slovenia"",""value"":3780.6},{""country_id"":""serbia"",""value"":-3810.5},{""country_id"":""austria"",""value"":11737.5},{""country_id"":""croatia"",""value"":-4687.9}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""serbia"",""austria"",""croatia""]","[]","25863.2","9807.2","20160.2","-209.5","百万欧元","106600","germany","-19938.5","romania","14930.230000000001","14930.230000000001","10932.97","-5123.030000000001","5229.969999999999","-15139.730000000001","germany","91669.77",,,,,"",,"2","5","3","7","0","50","可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:current_account_gdp","ten_country_comparable_subset","外部经济","current_account_gdp","经常账户/GDP","2021","[{""country_id"":""poland"",""value"":-1.3},{""country_id"":""hungary"",""value"":-4.4},{""country_id"":""czechia"",""value"":-2.1},{""country_id"":""slovakia"",""value"":-4.8},{""country_id"":""germany"",""value"":6.9},{""country_id"":""romania"",""value"":-7.2},{""country_id"":""slovenia"",""value"":3.5},{""country_id"":""serbia"",""value"":null},{""country_id"":""austria"",""value"":1.7},{""country_id"":""croatia"",""value"":0.3}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""austria"",""croatia""]","[""serbia""]","-1.3","-4.4","-2.1","-4.8","% GDP","6.9","germany","-7.2","romania","-0.8222222222222224","-0.8222222222222224","-0.47777777777777763","-3.577777777777778","-1.2777777777777777","-3.9777777777777774","germany","7.722222222222223",,,,,"",,"5","7","6","8","5","0","部分可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:fdi_inflow","ten_country_comparable_subset","投资","fdi_inflow","FDI 流入",,"[{""country_id"":""poland"",""value"":null},{""country_id"":""hungary"",""value"":null},{""country_id"":""czechia"",""value"":null},{""country_id"":""slovakia"",""value"":null},{""country_id"":""germany"",""value"":null},{""country_id"":""romania"",""value"":null},{""country_id"":""slovenia"",""value"":null},{""country_id"":""serbia"",""value"":null},{""country_id"":""austria"",""value"":null},{""country_id"":""croatia"",""value"":null}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""serbia"",""austria"",""croatia""]","[]",,,,,"百万欧元",,"",,"",,,,,,,"",,,,,,"",,,,,,"13","0","数据不足","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
"ten_country_derived_comparison:energy_import_dependency","ten_country_comparable_subset","能源","energy_import_dependency","能源进口依赖","2024","[{""country_id"":""poland"",""value"":45.669},{""country_id"":""hungary"",""value"":48.943},{""country_id"":""czechia"",""value"":39.32},{""country_id"":""slovakia"",""value"":53.501},{""country_id"":""germany"",""value"":66.812},{""country_id"":""romania"",""value"":30.356},{""country_id"":""slovenia"",""value"":46.382},{""country_id"":""serbia"",""value"":40.793},{""country_id"":""austria"",""value"":53.325},{""country_id"":""croatia"",""value"":59.929}]","[""poland"",""hungary"",""czechia"",""slovakia"",""germany"",""romania"",""slovenia"",""serbia"",""austria"",""croatia""]","[]","45.669","48.943","39.32","53.501","%","66.812","germany","30.356","romania","48.503","48.503","-2.834000000000003","0.4399999999999977","-9.183","4.9979999999999976","germany","18.308999999999997",,,,,"",,"7","5","9","3","10","0","可比较","仅表示同年、同定义、质量通过记录的事实位置，不代表风险、预测或政策优劣。","v0.76 使用最新共同年份；定义不一致、待接入、不适用或质量未通过记录不进入排名和均值。旧 V4 字段仅为展示兼容。"
