country_id,layer_id,layer_type,data_ready,boundary_ready,project_trace_ready,quality_passed,latest_year,source_reliability,is_ready_for_display,unavailable_reason
"poland","regional_boundary","boundary","true","false","true","true","2024","B / licence pending","false","边界公开展示闸门尚未通过。"
"poland","regional_population","choropleth","true","false","true","true","2024","B / licence pending","false","边界公开展示闸门尚未通过。"
"poland","regional_gdp","choropleth","true","false","true","true","2024","B / licence pending","false","边界公开展示闸门尚未通过。"
"poland","regional_gdp_per_capita","choropleth","true","false","true","true","2024","B / licence pending","false","边界公开展示闸门尚未通过。"
"poland","regional_unemployment_rate","choropleth","false","false","true","true","2024","B / licence pending","false","边界公开展示闸门尚未通过。"
"poland","regional_manufacturing_share","choropleth","false","false","true","true","2024","B / licence pending","false","边界公开展示闸门尚未通过。"
"poland","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"hungary","regional_boundary","boundary","true","true","true","true","2024","A","true",""
"hungary","regional_population","choropleth","true","true","true","true","2024","A","true",""
"hungary","regional_gdp","choropleth","true","true","true","true","2024","A","true",""
"hungary","regional_gdp_per_capita","choropleth","true","true","true","true","2024","A","true",""
"hungary","regional_unemployment_rate","choropleth","false","true","true","true","2024","A","false","该图层没有合格区域观测值。"
"hungary","regional_manufacturing_share","choropleth","false","true","true","true","2024","A","false","该图层没有合格区域观测值。"
"hungary","china_project_locations","project_reference","true","true","true","true","2024","A/B record-level source","false","项目定位或质量验收尚未通过。"
"czechia","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"czechia","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"czechia","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"czechia","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"czechia","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"czechia","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"czechia","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"slovakia","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovakia","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovakia","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovakia","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovakia","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovakia","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovakia","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"germany","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"germany","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"germany","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"germany","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"germany","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"germany","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"germany","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"romania","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"romania","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"romania","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"romania","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"romania","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"romania","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"romania","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"slovenia","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovenia","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovenia","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovenia","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovenia","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovenia","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"slovenia","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"serbia","regional_boundary","boundary","true","false","true","true","unavailable","B / licence pending","false","边界公开展示闸门尚未通过。"
"serbia","regional_population","choropleth","false","false","true","true","unavailable","B / licence pending","false","边界公开展示闸门尚未通过。"
"serbia","regional_gdp","choropleth","false","false","true","true","unavailable","B / licence pending","false","边界公开展示闸门尚未通过。"
"serbia","regional_gdp_per_capita","choropleth","false","false","true","true","unavailable","B / licence pending","false","边界公开展示闸门尚未通过。"
"serbia","regional_unemployment_rate","choropleth","false","false","true","true","unavailable","B / licence pending","false","边界公开展示闸门尚未通过。"
