layer_id,layer_name_zh,layer_name_en,layer_type,data_source_table,geometry_source_table,admin_level,country_coverage,indicator_or_variable,is_active,license_source,license_url,attribution_required,attribution_text,license_checked,license_review_status,license_review_date,license_decision_note,authoritative_topology_method,authoritative_topology_checked,topology_evidence_status,topology_validation_method,topology_validation_status,topology_validation_date,topology_decision_note,geometry_valid_count,invalid_geometry_count,duplicate_geometry_count,validation_manifest_file,manifest_status,expected_region_count,feature_count,nuts_code_count,region_id_candidate_count,detail_record_count,matched_region_count,unmatched_region_count,duplicate_region_id_count,duplicate_nuts_code_count,missing_geometry_count,manifest_detail_validation_status,region_id_final_matched,region_id_match_decision_status,region_id_match_evidence_status,visual_qa_passed,public_display_ready,is_ready_for_display,readiness_gate_status,visual_qa_started,feature_rendered_count,fit_bounds_checked,tooltip_checked,visual_overlap_checked,missing_geometry_checked,is_structural_sample,is_official_data,is_manual,is_pending,legend_type,legend_unit,color_scale,interaction_type,tooltip_fields,allowed_filters,source_requirement,quality_requirement,model_boundary,last_updated,notes
"hu_nuts3_boundary_pilot","匈牙利 NUTS3 边界试点图层","Hungary NUTS3 boundary pilot layer","boundary","regions","region_boundaries","NUTS3","hungary","hu_nuts3_gisco_2024","true","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","true","verified_for_public_research_display","2026-08-02","Eurostat GISCO statistical-units terms permit non-commercial use when the source and © EuroGeographics boundary attribution are visible. This decision is limited to public non-commercial research display; commercial use requires separate EuroGeographics clearance. Authoritative topology validation remains pending.","official_gisco_geometry_review_and_manifest_crosscheck","true","authoritative_topology_validated","official_gisco_geometry_review_and_manifest_crosscheck","authoritative_topology_validated","2026-08-02","Official GISCO NUTS 2024 Level 3 geometry was cross-checked against the 20-record validation manifest. All features are Polygon or MultiPolygon geometries with valid coordinate ranges, closed non-degenerate rings, no detected self-intersections, no detected cross-feature proper intersections, and no duplicate geometry records.","20","0","0","public/data/boundaries/sandbox/hu_nuts3_gisco_2024.validation.json","manifest_detail_validation_recorded","20","20","20","20","20","20","0","0","0","0","detail_validation_recorded_final_region_id_match_recorded","true","final_match_recorded","final_match_recorded","true","true","true","factual_boundary_display_ready","true","20","true","true","true","true","false","true","false","false","none","not_applicable","not_applicable","factual_hover_click_profile","[""NUTS_ID"",""NAME_LATN"",""region_id""]","[""country_id"",""admin_level"",""source_reliability"",""source_status"",""is_ready_for_display""]","Eurostat GISCO NUTS 2024 来源、许可、格式、坐标系、几何状态、拓扑检查状态和 NUTS 主键匹配必须完成核验。","许可确认、几何下载与过滤、拓扑检查、NUTS / region_id 主键匹配均通过前，is_ready_for_display 必须保持 false。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","匈牙利 NUTS3 记录作为历史试点证据保留；v0.87 公开地图不再以该试点记录替代逐国展示闸门。"
"v4_adm1_boundary","V4 ADM1 边界图层","V4 ADM1 boundary layer","boundary","regions","region_boundaries","ADM1","V4 四国 ADM1：poland, hungary, czechia, slovakia","regional_boundary_status","false","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","V4 其余边界文件尚未进入权威拓扑验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","not_ready_for_public_display","false","0","false","false","false","false","false","false","true","true","none","not_applicable","not_applicable","hover_tooltip_only_after_boundary_ready","[""region_id"",""region_name_zh"",""country_id"",""admin_code"",""boundary_source_name"",""boundary_license""]","[""country_id"",""admin_level"",""boundary_format"",""source_reliability"",""source_status""]","region_boundaries 必须提供可信边界来源、可公开展示许可、文件格式、坐标系和 region_id 对齐说明。","region_boundaries.geometry_available=true、geometry_simplified=true、topology_checked=true、boundary_license_checked=true，且 region_quality_checks 中对应区域 is_map_ready=true。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","正式展示仍需单独通过 public display readiness gate；public_display_ready=false 且 is_ready_for_display=false 时不得在地图工作台显示为真实图层。"
"regional_population_choropleth","区域人口图层","Regional population choropleth","choropleth","region_observations","region_boundaries","ADM1","逐国资格由 map_layer_readiness 决定；v0.89 已批准欧盟九国事实边界，统计图层按指标覆盖独立验收，塞尔维亚待核验","regional_population","true","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","true","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","true","authoritative_topology_validated","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","true","true","factual_regional_layer_ready","false","0","false","false","false","false","false","true","false","false","sequential","人","sequential blue-gray","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","本记录只定义事实图层；逐国公开资格、年份与阻断原因以 map_layer_readiness 和 spatial_display_gate 为准。"
"regional_gdp_choropleth","区域 GDP 图层","Regional GDP choropleth","choropleth","region_observations","region_boundaries","ADM1","逐国资格由 map_layer_readiness 决定；v0.89 已批准欧盟九国事实边界，统计图层按指标覆盖独立验收，塞尔维亚待核验","regional_gdp","true","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","true","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","true","authoritative_topology_validated","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","true","true","factual_regional_layer_ready","false","0","false","false","false","false","false","true","false","false","sequential","百万欧元","sequential green-gray","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","本记录只定义事实图层；逐国公开资格、年份与阻断原因以 map_layer_readiness 和 spatial_display_gate 为准。"
"regional_gdp_per_capita_choropleth","区域人均 GDP 图层","Regional GDP per capita choropleth","choropleth","region_observations","region_boundaries","ADM1","逐国资格由 map_layer_readiness 决定；v0.89 已批准欧盟九国事实边界，统计图层按指标覆盖独立验收，塞尔维亚待核验","regional_gdp_per_capita","true","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","true","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","true","authoritative_topology_validated","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","true","true","factual_regional_layer_ready","false","0","false","false","false","false","false","false","false","false","sequential","欧元","sequential teal-gray","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","本记录只定义事实图层；逐国公开资格、年份与阻断原因以 map_layer_readiness 和 spatial_display_gate 为准。"
"regional_unemployment_rate_choropleth","区域失业率图层","Regional unemployment rate choropleth","choropleth","region_observations","region_boundaries","ADM1","V4 四国 ADM1：poland, hungary, czechia, slovakia","regional_unemployment_rate","false","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","not_ready_for_public_display","false","0","false","false","false","false","false","false","false","true","sequential","%","sequential amber-gray","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","正式展示仍需单独通过 public display readiness gate；public_display_ready=false 且 is_ready_for_display=false 时不得在地图工作台显示为真实图层。"
"regional_employment_rate_choropleth","区域就业率图层","Regional employment rate choropleth","choropleth","region_observations","region_boundaries","ADM1","V4 四国 ADM1：poland, hungary, czechia, slovakia","regional_employment_rate","false","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","not_ready_for_public_display","false","0","false","false","false","false","false","false","false","true","sequential","%","sequential blue-gray","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","正式展示仍需单独通过 public display readiness gate；public_display_ready=false 且 is_ready_for_display=false 时不得在地图工作台显示为真实图层。"
"regional_manufacturing_share_choropleth","区域制造业 GVA 比重图层","Regional manufacturing GVA share choropleth","choropleth","region_observations","region_boundaries","ADM1","V4 四国 ADM1：poland, hungary, czechia, slovakia","regional_manufacturing_share","false","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","not_ready_for_public_display","false","0","false","false","false","false","false","false","false","true","sequential","%","sequential indigo-gray","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","正式展示仍需单独通过 public display readiness gate；public_display_ready=false 且 is_ready_for_display=false 时不得在地图工作台显示为真实图层。"
"regional_population_change_choropleth","区域人口变化图层","Regional population change choropleth","choropleth","region_observations","region_boundaries","ADM1","V4 四国 ADM1：poland, hungary, czechia, slovakia","regional_population_change_pct","false","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","not_ready_for_public_display","false","0","false","false","false","false","false","false","false","true","sequential","%","diverging muted blue-brown","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","正式展示仍需单独通过 public display readiness gate；public_display_ready=false 且 is_ready_for_display=false 时不得在地图工作台显示为真实图层。"
"regional_gdp_per_capita_change_choropleth","区域人均 GDP 变化图层","Regional GDP per capita change choropleth","choropleth","region_observations","region_boundaries","ADM1","V4 四国 ADM1：poland, hungary, czechia, slovakia","regional_gdp_per_capita_change_pct","false","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","pending_official_terms_review","","待选定具体文件并确认其适用官方条款后复核。","待确认：以 GISCO NUTS 2024 官方几何与元数据复核 NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","pending_authoritative_topology_review","pending_authoritative_topology_review","pending","区域统计值和真实边界尚未通过展示前验收。","0","0","0","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","not_ready_for_public_display","false","0","false","false","false","false","false","false","false","true","sequential","%","diverging muted teal-brown","hover_tooltip_and_filter_after_quality_pass","[""region_id"",""region_name_zh"",""country_id"",""year"",""value"",""unit"",""source_name"",""source_url"",""value_status""]","[""country_id"",""year"",""value_status"",""source_reliability"",""quality_status""]","region_observations 必须关联 region_indicators 和 region_sources，并保留数值、单位、来源名称、来源链接、来源等级和更新时间。","需要 region_observations 有正式数值、来源链接、单位、来源等级，并通过 region_quality_checks；当前待接入观测值不得进入地图显示。","地图图层注册表不生成风险图层、预测图层、党派支持率图层、选举预测或中国经济暴露指数。","2026-08-15","正式展示仍需单独通过 public display readiness gate；public_display_ready=false 且 is_ready_for_display=false 时不得在地图工作台显示为真实图层。"
