observation_id,country_id,indicator_id,year,period_type,period,value,unit,value_status,source_id,source_name,source_url,source_reliability,source_status,last_updated,is_official_data,is_pending,is_calculated,is_manual,is_structural_sample,is_in_cross_country_comparison,is_in_five_year_change,is_in_mean_gap,is_in_ranking_change,missing_reason,calculation_method,applicability_status,comparability_status,source_dataset,source_query_url,numerator,denominator,numerator_source_url,denominator_source_url,calculation_formula,calculation_year,notes
"macro:germany:gdp_current_eur:2021","germany","gdp_current_eur","2021","annual","2021","3682340","百万欧元","正式数据","eurostat","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2021&geo=DE&unit=CP_MEUR&na_item=B1GQ","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2021&geo=DE&unit=CP_MEUR&na_item=B1GQ",,,"","","无",,"名义 GDP，当年价格。 数据来源：Eurostat / Destatis"
"macro:germany:gdp_per_capita_eur:2021","germany","gdp_per_capita_eur","2021","annual","2021","44283","欧元","正式数据","eurostat","Eurostat nama_10_pc / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?time=2021&geo=DE&unit=CP_EUR_HAB&na_item=B1GQ","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat nama_10_pc / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?time=2021&geo=DE&unit=CP_EUR_HAB&na_item=B1GQ",,,"","","无",,"按 GDP 与人口换算。 数据来源：Eurostat / Destatis"
"macro:germany:real_gdp_growth:2021","germany","real_gdp_growth","2021","annual","2021","3.9","%","正式数据","eurostat","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2021&geo=DE&unit=CLV_PCH_PRE&na_item=B1GQ","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2021&geo=DE&unit=CLV_PCH_PRE&na_item=B1GQ",,,"","","无",,"链式体量，较上年变化率。 数据来源：Eurostat / Destatis"
"macro:germany:hicp_inflation:2021","germany","hicp_inflation","2021","annual","2021","3.2","%","正式数据","eurostat","Eurostat prc_hicp_aind / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2021&geo=DE&coicop=CP00&unit=RCH_A_AVG","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat prc_hicp_aind / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2021&geo=DE&coicop=CP00&unit=RCH_A_AVG",,,"","","无",,"年均消费者价格变化率；欧盟国家采用 HICP。 数据来源：Eurostat / Destatis"
"macro:germany:unemployment_rate:2021","germany","unemployment_rate","2021","annual","2021","3.6","%","正式数据","eurostat","Eurostat une_rt_a / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a?time=2021&geo=DE&sex=T&age=Y15-74&unit=PC_ACT","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat une_rt_a / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a?time=2021&geo=DE&sex=T&age=Y15-74&unit=PC_ACT",,,"","","无",,"15-74 岁劳动力口径。 数据来源：Eurostat / Destatis"
"macro:germany:population:2021","germany","population","2021","annual","2021","83160000","人","正式数据","eurostat","Eurostat demo_pjan / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjan?time=2021&geo=DE&sex=T&age=TOTAL&unit=NR","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat demo_pjan / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjan?time=2021&geo=DE&sex=T&age=TOTAL&unit=NR",,,"","","无",,"年初人口；单位已按指标字典转换为人。 数据来源：Eurostat / Destatis"
"macro:germany:gdp_current_eur:2022","germany","gdp_current_eur","2022","annual","2022","3989390","百万欧元","正式数据","eurostat","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2022&geo=DE&unit=CP_MEUR&na_item=B1GQ","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2022&geo=DE&unit=CP_MEUR&na_item=B1GQ",,,"","","无",,"名义 GDP，当年价格。 数据来源：Eurostat / Destatis"
"macro:germany:gdp_per_capita_eur:2022","germany","gdp_per_capita_eur","2022","annual","2022","47928","欧元","正式数据","eurostat","Eurostat nama_10_pc / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?time=2022&geo=DE&unit=CP_EUR_HAB&na_item=B1GQ","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat nama_10_pc / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?time=2022&geo=DE&unit=CP_EUR_HAB&na_item=B1GQ",,,"","","无",,"按 GDP 与人口换算。 数据来源：Eurostat / Destatis"
"macro:germany:real_gdp_growth:2022","germany","real_gdp_growth","2022","annual","2022","1.8","%","正式数据","eurostat","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2022&geo=DE&unit=CLV_PCH_PRE&na_item=B1GQ","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat nama_10_gdp / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_gdp?time=2022&geo=DE&unit=CLV_PCH_PRE&na_item=B1GQ",,,"","","无",,"链式体量，较上年变化率。 数据来源：Eurostat / Destatis"
"macro:germany:hicp_inflation:2022","germany","hicp_inflation","2022","annual","2022","8.7","%","正式数据","eurostat","Eurostat prc_hicp_aind / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2022&geo=DE&coicop=CP00&unit=RCH_A_AVG","A","官方","2026-07-17","true","false","false","false","false","true","true","false","false","无","无","applicable","comparable","Eurostat prc_hicp_aind / Destatis GENESIS-Online","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?time=2022&geo=DE&coicop=CP00&unit=RCH_A_AVG",,,"","","无",,"年均消费者价格变化率；欧盟国家采用 HICP。 数据来源：Eurostat / Destatis"
