boundary_id,region_id,country_id,admin_level,nuts_version,boundary_source_name,boundary_source_url,boundary_source_type,boundary_license,license_source,license_url,attribution_required,attribution_text,license_checked,boundary_format,geometry_format,file_selected,file_url,file_status,filter_status,display_status,geometry_available,geometry_simplified,topology_checked,authoritative_topology_method,authoritative_topology_checked,topology_evidence_status,coordinate_system,file_path_or_url,region_code_match_status,region_id_final_matched,public_display_ready,is_ready_for_display,source_reliability,source_status,last_checked,notes
"hu_nuts3_gisco_2024","hungary_nuts3_pilot","hungary","NUTS3","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_01M_2024_4326_LEVL_3.geojson","EU official statistical geodata","许可来源与署名要求已记录；适用范围、条款接受和公开展示资格仍待最终核验。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","true","/data/boundaries/sandbox/hu_nuts3_gisco_2024.geojson","sandbox_downloaded","sandbox_filtered","not_ready_for_display","true","false","true","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","sandbox_basic_topology_passed_pending_authoritative_validation","EPSG:4326","/data/boundaries/sandbox/hu_nuts3_gisco_2024.geojson","sandbox_pre_matched_20_of_20_pending_verification","false","false","false","A","官方来源","2026-07-31","v0.15 license and topology evidence record；20 个要素已完成基础几何与异常穿越检查，但该结果不替代权威拓扑验收。许可证据和署名要求已记录，license_checked=false；最终主键与公开展示资格仍未通过。"
"poland_lower_silesian_boundary_candidate","poland_lower_silesian","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_kuyavian_pomeranian_boundary_candidate","poland_kuyavian_pomeranian","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_lublin_boundary_candidate","poland_lublin","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_lubusz_boundary_candidate","poland_lubusz","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_lodz_boundary_candidate","poland_lodz","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_lesser_poland_boundary_candidate","poland_lesser_poland","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_masovian_boundary_candidate","poland_masovian","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_opole_boundary_candidate","poland_opole","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
"poland_subcarpathian_boundary_candidate","poland_subcarpathian","poland","ADM1","NUTS 2024","Eurostat GISCO NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","EU official statistical geodata","非商业使用；必须标注 © EuroGeographics for the administrative boundaries；商业使用需联系 EuroGeographics。","European Commission / Eurostat GISCO geodata and NUTS usage conditions","https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics","true","Source: European Commission – Eurostat/GISCO; administrative boundaries: © EuroGeographics.","false","GeoJSON","GeoJSON","false","","not_downloaded","not_filtered","not_ready_for_display","false","false","false","待确认：拟以 GISCO NUTS 2024 官方几何与元数据为基准，复核要素数、NUTS code、几何有效性、共享边界、重叠与缝隙。","false","not_started","EPSG:4326 候选；源数据也提供 EPSG:3035 和 EPSG:3857。","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","pending_region_code_match","false","false","false","A","官方来源","2026-07-27","来源可信度已确认：Eurostat/GISCO NUTS 2024 由欧盟统计地理服务发布，提供 GeoJSON、TopoJSON、PBF、CSV、SHP、SVG 和多坐标系版本。v0.9 尚未接入几何文件；仍需完成 ADM1 与 NUTS/行政代码映射、历史边界变动检查、前端简化比例选择、拓扑检查和 region_id 对齐。"
