region_indicator_id,name_zh,name_en,indicator_category,section,unit,frequency,applicable_countries,applicable_admin_levels,primary_source,fallback_source,source_reliability,is_official_regional_data,is_manual,is_calculated,is_in_map_layer,is_in_regional_comparison,is_future_model_candidate,missing_value_rule,pending_value_rule,last_updated,notes
"regional_population","区域人口","Regional population","人口","区域基础数据","人","annual","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","Eurostat regional statistics / 各国统计局区域统计","各国统计局、Eurostat、官方区域统计年鉴","A","true","false","false","true","true","true","不得填 0；保留空值并标记待接入或待核验。","显示为待接入，不参与地图图层、区域比较或未来模型候选输入。","2026-08-14","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。"
"regional_gdp","区域 GDP","Regional GDP","经济","区域基础数据","百万欧元","annual","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","Eurostat regional statistics / 各国统计局区域统计","各国统计局、Eurostat、官方区域统计年鉴","A","true","false","false","true","true","true","不得填 0；保留空值并标记待接入或待核验。","显示为待接入，不参与地图图层、区域比较或未来模型候选输入。","2026-08-14","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。"
"regional_gdp_per_capita","区域人均 GDP","Regional GDP per capita","经济","区域基础数据","欧元","annual","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","Eurostat regional statistics / 各国统计局区域统计","各国统计局、Eurostat、官方区域统计年鉴","A","true","false","true","true","true","true","区域 GDP 或区域人口任一缺失时不得计算；保留待接入。","显示为待接入，不参与地图图层、区域比较或未来模型候选输入。","2026-08-14","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。"
"regional_unemployment_rate","区域失业率","Regional unemployment rate","劳动力","区域劳动力","%","annual","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","Eurostat regional statistics / 各国统计局区域统计","各国统计局、Eurostat、官方区域统计年鉴","A","true","false","false","true","true","true","不得填 0；保留空值并标记待接入或待核验。","显示为待接入，不参与地图图层、区域比较或未来模型候选输入。","2026-08-14","区域劳动力指标，后续需统一年龄口径和统计频率。"
"regional_industry_structure","区域产业结构","Regional industrial structure","产业","区域产业","分类 / 占比","annual","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","Eurostat regional statistics / 各国统计局区域统计","各国统计局、Eurostat、官方区域统计年鉴","A","true","false","false","true","true","true","不得填 0；保留空值并标记待接入或待核验。","显示为待接入，不参与地图图层、区域比较或未来模型候选输入。","2026-08-14","可用于区域产业结构图层；必须先统一行业分类口径。"
"regional_manufacturing_share","区域制造业比重","Regional manufacturing share","产业","区域产业","%","annual","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","Eurostat regional statistics / 各国统计局区域统计","各国统计局、Eurostat、官方区域统计年鉴","A","true","false","true","true","true","true","制造业 GVA 或区域总 GVA 缺失时不得计算；保留待接入。","显示为待接入，不参与地图图层、区域比较或未来模型候选输入。","2026-08-14","由区域制造业增加值 / 区域总增加值计算；不直接复用国家级制造业占 GDP 比重。"
"regional_main_city","区域首府/主要城市","Regional capital or main city","区域元数据","区域基础档案","文本","not_applicable","十国；V4 已有 ADM1 主键，非 V4 暂保留国家级待接入。","ADM1 / COUNTRY","regions","各国官方行政区划说明","B","false","true","false","true","false","false","缺失时显示待核验，不填入推测城市。","显示为待接入或待核验，不参与区域比较。","2026-08-14","来自 regions 元数据表；作为地图标签候选，不作为数值型指标。"
"regional_china_project_count","区域对华项目数量","Regional China-related project count","对华项目","区域对华经贸","项","annual / snapshot","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","china_projects / project_locations 待接入后汇总","企业公告、官方年报、地方政府公告、主流通讯社","B","false","true","true","true","true","true","project_locations 未接入前不得显示为 0；显示待接入。","项目坐标和 region_id 映射完成前不进入地图图层或区域比较。","2026-08-14","由项目表按 region_id 聚合；当前不是中国经济暴露指数。"
"regional_china_project_status","区域对华项目状态","Regional China-related project status","对华项目","区域对华经贸","分类","event / snapshot","十国：poland, hungary, czechia, slovakia, germany, austria, romania, slovenia, croatia, serbia；按已核验 ADM1/NUTS 对应层级使用。","ADM1 / NUTS1 / NUTS2 / NUTS3；跨国比较必须显式记录层级差异。","china_projects / project_locations 待接入后汇总","企业公告、官方年报、地方政府公告、主流通讯社","B","false","true","false","true","false","true","缺少项目状态时间线时显示待核验，不推断项目状态。","显示为待接入或待核验，不参与区域比较。","2026-08-14","用于项目状态图层候选；不生成风险判断或政策评价。"
"regional_boundary_status","区域边界状态","Regional boundary status","地图边界","区域边界","分类","snapshot","十国；V4 为 ADM1 候选，非 V4 为国家级待接入。","ADM1 / COUNTRY","regions / region_boundaries","官方行政区划边界源","A","false","true","false","true","false","false","无边界来源时显示待接入；不得显示为真实边界已上线。","geometry_available=false 时只作为地图工作台准备状态，不渲染真实边界。","2026-08-14","由 region_boundaries 读取边界来源、许可、格式、几何接入和拓扑检查状态。"
