continuity_id,country_id,region_id,old_region_code,new_region_code,boundary_version,valid_from,valid_to,continuity_status,comparison_eligible,notes
"poland_lower_silesian_PL51_2021_2024","poland","poland_lower_silesian","PL51","PL51","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_kuyavian_pomeranian_PL61_2021_2024","poland","poland_kuyavian_pomeranian","PL61","PL61","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_lublin_PL81_2021_2024","poland","poland_lublin","PL81","PL81","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_lubusz_PL43_2021_2024","poland","poland_lubusz","PL43","PL43","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_lodz_PL71_2021_2024","poland","poland_lodz","PL71","PL71","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_lesser_poland_PL21_2021_2024","poland","poland_lesser_poland","PL21","PL21","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_masovian_PL91_2021_2024","poland","poland_masovian","PL91","PL91","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_masovian_PL92_2021_2024","poland","poland_masovian","PL92","PL92","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_opole_PL52_2021_2024","poland","poland_opole","PL52","PL52","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_subcarpathian_PL82_2021_2024","poland","poland_subcarpathian","PL82","PL82","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_podlaskie_PL84_2021_2024","poland","poland_podlaskie","PL84","PL84","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_pomeranian_PL63_2021_2024","poland","poland_pomeranian","PL63","PL63","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_silesian_PL22_2021_2024","poland","poland_silesian","PL22","PL22","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_swietokrzyskie_PL72_2021_2024","poland","poland_swietokrzyskie","PL72","PL72","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_warmian_masurian_PL62_2021_2024","poland","poland_warmian_masurian","PL62","PL62","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_greater_poland_PL41_2021_2024","poland","poland_greater_poland","PL41","PL41","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"poland_west_pomeranian_PL42_2021_2024","poland","poland_west_pomeranian","PL42","PL42","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_budapest_HU110_2021_2024","hungary","hungary_budapest","HU110","HU110","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_bacs_kiskun_HU331_2021_2024","hungary","hungary_bacs_kiskun","HU331","HU331","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_baranya_HU231_2021_2024","hungary","hungary_baranya","HU231","HU231","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_bekes_HU332_2021_2024","hungary","hungary_bekes","HU332","HU332","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_borsod_abauj_zemplen_HU311_2021_2024","hungary","hungary_borsod_abauj_zemplen","HU311","HU311","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_csongrad_csanad_HU333_2021_2024","hungary","hungary_csongrad_csanad","HU333","HU333","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_fejer_HU211_2021_2024","hungary","hungary_fejer","HU211","HU211","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_gyor_moson_sopron_HU221_2021_2024","hungary","hungary_gyor_moson_sopron","HU221","HU221","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_hajdu_bihar_HU321_2021_2024","hungary","hungary_hajdu_bihar","HU321","HU321","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_heves_HU312_2021_2024","hungary","hungary_heves","HU312","HU312","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_jasz_nagykun_szolnok_HU322_2021_2024","hungary","hungary_jasz_nagykun_szolnok","HU322","HU322","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_komarom_esztergom_HU212_2021_2024","hungary","hungary_komarom_esztergom","HU212","HU212","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_nograd_HU313_2021_2024","hungary","hungary_nograd","HU313","HU313","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_pest_HU120_2021_2024","hungary","hungary_pest","HU120","HU120","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_somogy_HU232_2021_2024","hungary","hungary_somogy","HU232","HU232","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_szabolcs_szatmar_bereg_HU323_2021_2024","hungary","hungary_szabolcs_szatmar_bereg","HU323","HU323","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_tolna_HU233_2021_2024","hungary","hungary_tolna","HU233","HU233","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_vas_HU222_2021_2024","hungary","hungary_vas","HU222","HU222","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_veszprem_HU213_2021_2024","hungary","hungary_veszprem","HU213","HU213","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"hungary_zala_HU223_2021_2024","hungary","hungary_zala","HU223","HU223","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_prague_CZ010_2021_2024","czechia","czechia_prague","CZ010","CZ010","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_central_bohemian_CZ020_2021_2024","czechia","czechia_central_bohemian","CZ020","CZ020","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_south_bohemian_CZ031_2021_2024","czechia","czechia_south_bohemian","CZ031","CZ031","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_plzen_CZ032_2021_2024","czechia","czechia_plzen","CZ032","CZ032","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_karlovy_vary_CZ041_2021_2024","czechia","czechia_karlovy_vary","CZ041","CZ041","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_usti_CZ042_2021_2024","czechia","czechia_usti","CZ042","CZ042","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_liberec_CZ051_2021_2024","czechia","czechia_liberec","CZ051","CZ051","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
"czechia_hradec_kralove_CZ052_2021_2024","czechia","czechia_hradec_kralove","CZ052","CZ052","NUTS 2024 correspondence","2021","2024","same_nuts2024_source_code_used_across_series","true","This confirms a stable source code in the selected Eurostat NUTS 2024 series; it is not a cadastral statement that historical boundaries never changed."
