country_id,layer_id,admin_level,definition,unit,available_years,latest_available_year,comparison_eligible,blocker
"poland","regional_boundary","ADM1","已核验行政边界。","not_applicable","[]","unavailable","false","层级、覆盖或质量条件尚未满足。"
"poland","regional_population","ADM1","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_gdp","ADM1","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_gdp_per_capita","ADM1","由区域 GDP / 区域人口计算；必须保留计算公式和原始来源。","欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_unemployment_rate","ADM1","Eurostat 年度 LFS 失业率：sex=T、age=Y15-74、isced11=TOTAL、unit=PC。只在当前地图层级可直接对应时使用，不复制上级区域值。","%","[""2021"",""2022"",""2023"",""2024""]","2024","false","complete_regional_observations_unavailable"
"poland","regional_employment_rate","ADM1","Eurostat 年度 LFS 就业率：sex=T、age=Y20-64、unit=PC。v0.89 只采用这一项就业指标，避免与就业人数或登记就业混用。","%","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"poland","regional_manufacturing_share","ADM1","由同年同区制造业 GVA（NACE C，CP_MEUR）/ 区域总 GVA（NACE TOTAL，CP_MEUR）计算；不是制造业就业比重，不复用国家值。","%","[""2021"",""2022"",""2023""]","2023","true",""
"poland","regional_population_change_pct","ADM1","历史事实变化：(value_2024 / value_2021 - 1) × 100；不是预测或绩效评分。","%","[""2024""]","2024","true",""
"poland","regional_gdp_per_capita_change_pct","ADM1","名义人均 GDP 历史变化：(value_2024 / value_2021 - 1) × 100；不等于实际增长或生活水平评分。","%","[""2024""]","2024","true",""
"poland","regional_unemployment_change_pp","ADM1","历史事实变化：unemployment_2024 - unemployment_2021；不是预测或区域压力指数。","百分点","[""2024""]","2024","false","complete_regional_observations_unavailable"
"poland","china_project_locations","ADM1","已核验项目的城市或区域参考位置；不代表项目经济影响。","not_applicable","[]","unavailable","false","层级、覆盖或质量条件尚未满足。"
"hungary","regional_boundary","NUTS3","已核验行政边界。","not_applicable","[]","unavailable","false","层级、覆盖或质量条件尚未满足。"
"hungary","regional_population","NUTS3","第一批区域基础指标；真实观测值应进入 region_observations，不与国家级 observations 混写。","人","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
"hungary","regional_gdp","NUTS3","区域 GDP 仅用于区域事实展示和比较准备，不下推国家级 GDP 数据。","百万欧元","[""2021"",""2022"",""2023"",""2024""]","2024","true",""
