indicator_id,indicator_name_zh,country_count,region_count,available_years,latest_year,comparison_eligible_country_count,unit,source_requirement
"regional_population","区域人口","9","148","[""2021"",""2022"",""2023"",""2024""]","2024","9","人","Eurostat regional statistics / 各国统计局区域统计"
"regional_gdp","区域 GDP","9","148","[""2021"",""2022"",""2023"",""2024""]","2024","9","百万欧元","Eurostat regional statistics / 各国统计局区域统计"
"regional_gdp_per_capita","区域人均 GDP","9","148","[""2021"",""2022"",""2023"",""2024""]","2024","9","欧元","Eurostat regional statistics / 各国统计局区域统计"
"regional_unemployment_rate","区域失业率","4","42","[""2021"",""2022"",""2023"",""2024""]","2024","3","%","Eurostat regional statistics / 各国统计局区域统计"
"regional_employment_rate","区域就业率","4","43","[""2021"",""2022"",""2023"",""2024""]","2024","4","%","Eurostat regional labour market statistics / lfst_r_lfe2emprt"
"regional_industry_structure","区域产业结构","0","0","[]","unavailable","0","分类 / 占比","Eurostat regional statistics / 各国统计局区域统计"
"regional_manufacturing_share","区域制造业 GVA 比重","9","148","[""2021"",""2022"",""2023"",""2024""]","2024","9","%","Eurostat regional statistics / 各国统计局区域统计"
"regional_population_change_pct","区域人口变化","9","148","[""2024""]","2024","9","%","region_observations / regional_population"
"regional_gdp_per_capita_change_pct","区域人均 GDP 变化","9","148","[""2024""]","2024","9","%","region_observations / regional_gdp_per_capita"
"regional_unemployment_change_pp","区域失业率变化","4","42","[""2024""]","2024","3","百分点","region_observations / regional_unemployment_rate"
"regional_main_city","区域首府/主要城市","0","0","[]","unavailable","0","文本","regions"
"regional_china_project_count","区域对华项目数量","0","0","[]","unavailable","0","项","china_projects / project_locations 待接入后汇总"
"regional_china_project_status","区域对华项目状态","0","0","[]","unavailable","0","分类","china_projects / project_locations 待接入后汇总"
"regional_boundary_status","区域边界状态","0","0","[]","unavailable","0","分类","regions / region_boundaries"
