country_id,country_name_zh,classification_system,admin_level,region_count,geometry_count,geometry_match_status,p0_indicator_count,p1_indicator_count,factual_observation_count,pending_observation_count,latest_year,project_mapped_count,project_display_eligible_count,boundary_ready,regional_data_ready,project_ready,public_layer_count,priority_gaps,approved_layers,rejected_layers,blocker,latest_common_year
"poland","波兰","ADM1","ADM1","16","16","one_to_one_matched","3","3","411","20","2024","3","2","true","true","true","9","[""区域失业率"",""区域失业率变化（2021–2024）""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_employment_rate"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""china_project_locations""]","[""regional_unemployment_rate"",""regional_unemployment_change_pp""]","区域失业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable","2024"
"hungary","匈牙利","NUTS","NUTS3","20","20","one_to_one_matched","3","1","360","160","2024","5","2","true","true","true","8","[""区域失业率"",""区域就业率"",""区域失业率变化（2021–2024）""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""china_project_locations""]","[""regional_unemployment_rate"",""regional_employment_rate"",""regional_unemployment_change_pp""]","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable","2024"
"czechia","捷克","NUTS","NUTS3","14","14","one_to_one_matched","3","1","252","112","2024","3","2","true","true","true","8","[""区域失业率"",""区域就业率"",""区域失业率变化（2021–2024）""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""china_project_locations""]","[""regional_unemployment_rate"",""regional_employment_rate"",""regional_unemployment_change_pp""]","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable","2024"
"slovakia","斯洛伐克","NUTS","NUTS3","8","8","one_to_one_matched","3","1","144","64","2024","4","1","true","true","true","8","[""区域失业率"",""区域就业率"",""区域失业率变化（2021–2024）""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""china_project_locations""]","[""regional_unemployment_rate"",""regional_employment_rate"",""regional_unemployment_change_pp""]","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable","2024"
"germany","德国","NUTS","NUTS1","16","16","one_to_one_matched","3","3","416","16","2024","2","1","true","true","true","11","[]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_unemployment_rate"",""regional_employment_rate"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""regional_unemployment_change_pp"",""china_project_locations""]","[]","","2024"
"romania","罗马尼亚","NUTS","NUTS3","42","42","one_to_one_matched","3","1","714","378","2024","1","1","true","true","true","8","[""区域失业率"",""区域就业率"",""区域失业率变化（2021–2024）""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""china_project_locations""]","[""regional_unemployment_rate"",""regional_employment_rate"",""regional_unemployment_change_pp""]","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable","2024"
"slovenia","斯洛文尼亚","NUTS","NUTS2","2","2","one_to_one_matched","3","3","54","0","2024","1","1","true","true","true","11","[]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_unemployment_rate"",""regional_employment_rate"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""regional_unemployment_change_pp"",""china_project_locations""]","[]","","2024"
"serbia","塞尔维亚","national_admin","ADM1","25","25","one_to_one_matched","0","0","0","600","unavailable","2","2","false","false","false","0","[""行政边界"",""区域人口"",""区域 GDP"",""区域人均 GDP"",""区域失业率"",""区域就业率"",""区域制造业 GVA 比重"",""区域人口变化（2021–2024）"",""区域人均 GDP 变化（2021–2024）"",""区域失业率变化（2021–2024）"",""对华项目区域参考""]","[]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_unemployment_rate"",""regional_employment_rate"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""regional_unemployment_change_pp"",""china_project_locations""]","行政边界: official_boundary_correspondence_and_regional_comparability_pending；区域人口: official_boundary_correspondence_and_regional_comparability_pending；区域 GDP: official_boundary_correspondence_and_regional_comparability_pending；区域人均 GDP: official_boundary_correspondence_and_regional_comparability_pending；区域失业率: official_boundary_correspondence_and_regional_comparability_pending；区域就业率: official_boundary_correspondence_and_regional_comparability_pending；区域制造业 GVA 比重: official_boundary_correspondence_and_regional_comparability_pending；区域人口变化（2021–2024）: official_boundary_correspondence_and_regional_comparability_pending；区域人均 GDP 变化（2021–2024）: official_boundary_correspondence_and_regional_comparability_pending；区域失业率变化（2021–2024）: official_boundary_correspondence_and_regional_comparability_pending；对华项目区域参考: official_boundary_correspondence_and_regional_comparability_pending","unavailable"
"austria","奥地利","NUTS","NUTS2","9","9","one_to_one_matched","3","3","243","0","2024","1","0","true","true","false","10","[""对华项目区域参考""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_unemployment_rate"",""regional_employment_rate"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct"",""regional_unemployment_change_pp""]","[""china_project_locations""]","对华项目区域参考: no_high_or_medium_confidence_project_reference","2024"
"croatia","克罗地亚","NUTS","NUTS3","21","21","one_to_one_matched","3","1","378","168","2024","1","0","true","true","false","7","[""区域失业率"",""区域就业率"",""区域失业率变化（2021–2024）"",""对华项目区域参考""]","[""regional_boundary"",""regional_population"",""regional_gdp"",""regional_gdp_per_capita"",""regional_manufacturing_share"",""regional_population_change_pct"",""regional_gdp_per_capita_change_pct""]","[""regional_unemployment_rate"",""regional_employment_rate"",""regional_unemployment_change_pp"",""china_project_locations""]","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable；对华项目区域参考: no_high_or_medium_confidence_project_reference","2024"
