region_observation_id,country_id,region_id,region_indicator_id,year,value,unit,value_status,source_name,source_url,source_reliability,calculation_method,last_updated,notes
"poland_lower_silesian_regional_population_change_pct_2024","poland","poland_lower_silesian","regional_population_change_pct","2024","-0.99","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_lower_silesian_regional_gdp_per_capita_change_pct_2024","poland","poland_lower_silesian","regional_gdp_per_capita_change_pct","2024","43.72","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_lower_silesian_regional_unemployment_change_pp_2024","poland","poland_lower_silesian","regional_unemployment_change_pp","2024","-0.7","百分点","计算值","Eurostat regional labour market statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/lfst_r_lfu3rt?sex=T&age=Y15-74&isced11=TOTAL&unit=PC&sinceTimePeriod=2021&untilTimePeriod=2024&lang=en","A","value_2024 - value_2021; start_year=2021; end_year=2024; source_indicator=regional_unemployment_rate.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_kuyavian_pomeranian_regional_population_change_pct_2024","poland","poland_kuyavian_pomeranian","regional_population_change_pct","2024","-1.9","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_kuyavian_pomeranian_regional_gdp_per_capita_change_pct_2024","poland","poland_kuyavian_pomeranian","regional_gdp_per_capita_change_pct","2024","43.33","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_kuyavian_pomeranian_regional_unemployment_change_pp_2024","poland","poland_kuyavian_pomeranian","regional_unemployment_change_pp","2024","-0.3","百分点","计算值","Eurostat regional labour market statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/lfst_r_lfu3rt?sex=T&age=Y15-74&isced11=TOTAL&unit=PC&sinceTimePeriod=2021&untilTimePeriod=2024&lang=en","A","value_2024 - value_2021; start_year=2021; end_year=2024; source_indicator=regional_unemployment_rate.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_lublin_regional_population_change_pct_2024","poland","poland_lublin","regional_population_change_pct","2024","-2.36","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_lublin_regional_gdp_per_capita_change_pct_2024","poland","poland_lublin","regional_gdp_per_capita_change_pct","2024","47.18","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?unit=MIO_EUR | https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_gdp_per_capita.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_lublin_regional_unemployment_change_pp_2024","poland","poland_lublin","regional_unemployment_change_pp","2024","-1.9","百分点","计算值","Eurostat regional labour market statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/lfst_r_lfu3rt?sex=T&age=Y15-74&isced11=TOTAL&unit=PC&sinceTimePeriod=2021&untilTimePeriod=2024&lang=en","A","value_2024 - value_2021; start_year=2021; end_year=2024; source_indicator=regional_unemployment_rate.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
"poland_lubusz_regional_population_change_pct_2024","poland","poland_lubusz","regional_population_change_pct","2024","-1.87","%","计算值","Eurostat regional statistics","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?sex=T&age=TOTAL&unit=NR","A","(value_2024 / value_2021 - 1) * 100; start_year=2021; end_year=2024; source_indicator=regional_population.","2026-08-15","Historical factual change, not a forecast, risk score, or performance rating."
