country_id,geometry_file,source_name,expected_feature_count,actual_feature_count,region_code_count,region_id_count,missing_region_count,unexpected_region_count,duplicate_region_id_count,duplicate_region_code_count,empty_geometry_count,invalid_geometry_count,out_of_country_bounds_count,major_overlap_count,nested_or_overlap_candidate_count,overlap_review_status,abnormal_gap_status,coordinate_system,crs_confirmed,geometry_ready,region_id_ready,containment_ready,overlap_review_ready,topology_ready,topology_method,topology_limitations,reviewed_at
"germany","public/data/boundaries/v086/germany_nuts1_gisco_2024.geojson","Eurostat GISCO NUTS 2024","16","16","16","16","0","0","0","0","0","0","0","0","1","nested_administrative_relationship_or_source_topology_reviewed","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"austria","public/data/boundaries/v086/austria_nuts2_gisco_2024.geojson","Eurostat GISCO NUTS 2024","9","9","9","9","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"slovenia","public/data/boundaries/v086/slovenia_nuts2_gisco_2024.geojson","Eurostat GISCO NUTS 2024","2","2","2","2","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"hungary","public/data/boundaries/v086/hungary_nuts3_gisco_2024.geojson","Eurostat GISCO NUTS 2024","20","20","20","20","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"czechia","public/data/boundaries/v086/czechia_nuts3_gisco_2024.geojson","Eurostat GISCO NUTS 2024","14","14","14","14","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"slovakia","public/data/boundaries/v086/slovakia_nuts3_gisco_2024.geojson","Eurostat GISCO NUTS 2024","8","8","8","8","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"romania","public/data/boundaries/v086/romania_nuts3_gisco_2024.geojson","Eurostat GISCO NUTS 2024","42","42","42","42","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"croatia","public/data/boundaries/v086/croatia_nuts3_gisco_2024.geojson","Eurostat GISCO NUTS 2024","21","21","21","21","0","0","0","0","0","0","0","0","1","nested_administrative_relationship_or_source_topology_reviewed","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"poland","public/data/boundaries/v086/poland_adm1_geoboundaries.geojson","geoBoundaries gbOpen ADM1","16","16","16","16","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
"serbia","public/data/boundaries/v086/serbia_adm1_geoboundaries.geojson","geoBoundaries gbOpen ADM1","25","25","25","25","0","0","0","0","0","0","0","0","0","no_major_overlap_detected","no_missing_regions_source_topology_inherited","EPSG:4326","true","true","true","true","true","true","local_geometry_integrity_country_bounds_and_major_overlap_review","This local QA detects empty/invalid rings, out-of-range coordinates and country-bound violations. Centroid containment candidates are recorded separately because legitimate nested administrative units can look like overlaps. It does not replace cadastral or legal boundary validation.","2026-08-15"
