country_id,country_name_zh,region_level,region_count,population,gdp,gdp_per_capita,unemployment,employment,manufacturing,industry_definition,verified_project_records,historical_coverage,comparison_eligible_indicator_count,priority_gaps
"poland","波兰","ADM1","16","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":15,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""unavailable""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023""],""complete_latest_year"":""2023""}","manufacturing_gva_share","3","[""2021"",""2022"",""2023"",""2024""]","5","[""LFS 失业率仅覆盖 15 / 16 个当前区域""]"
"hungary","匈牙利","NUTS3","20","{""available"":true,""covered_regions"":20,""region_count"":20,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":20,""region_count"":20,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":20,""region_count"":20,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":false,""covered_regions"":0,""region_count"":20,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":20,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":true,""covered_regions"":20,""region_count"":20,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","manufacturing_gva_share","5","[""2021"",""2022"",""2023"",""2024""]","4","[""当前地图层级缺少可直接对应的 LFS 失业率"",""当前地图层级缺少可直接对应的 LFS 就业率""]"
"czechia","捷克","NUTS3","14","{""available"":true,""covered_regions"":14,""region_count"":14,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":14,""region_count"":14,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":14,""region_count"":14,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":false,""covered_regions"":0,""region_count"":14,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":14,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":true,""covered_regions"":14,""region_count"":14,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","manufacturing_gva_share","3","[""2021"",""2022"",""2023"",""2024""]","4","[""当前地图层级缺少可直接对应的 LFS 失业率"",""当前地图层级缺少可直接对应的 LFS 就业率""]"
"slovakia","斯洛伐克","NUTS3","8","{""available"":true,""covered_regions"":8,""region_count"":8,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":8,""region_count"":8,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":8,""region_count"":8,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":false,""covered_regions"":0,""region_count"":8,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":8,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":true,""covered_regions"":8,""region_count"":8,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","manufacturing_gva_share","4","[""2021"",""2022"",""2023"",""2024""]","4","[""当前地图层级缺少可直接对应的 LFS 失业率"",""当前地图层级缺少可直接对应的 LFS 就业率""]"
"germany","德国","NUTS1","16","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":16,""region_count"":16,""years"":[""2021"",""2022"",""2023""],""complete_latest_year"":""2023""}","manufacturing_gva_share","2","[""2021"",""2022"",""2023"",""2024""]","6","[]"
"romania","罗马尼亚","NUTS3","42","{""available"":true,""covered_regions"":42,""region_count"":42,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":42,""region_count"":42,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":42,""region_count"":42,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":false,""covered_regions"":0,""region_count"":42,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":42,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":true,""covered_regions"":42,""region_count"":42,""years"":[""2021"",""2022"",""2023""],""complete_latest_year"":""2023""}","manufacturing_gva_share","1","[""2021"",""2022"",""2023"",""2024""]","4","[""当前地图层级缺少可直接对应的 LFS 失业率"",""当前地图层级缺少可直接对应的 LFS 就业率""]"
"slovenia","斯洛文尼亚","NUTS2","2","{""available"":true,""covered_regions"":2,""region_count"":2,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":2,""region_count"":2,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":2,""region_count"":2,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":2,""region_count"":2,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":2,""region_count"":2,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":2,""region_count"":2,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","manufacturing_gva_share","1","[""2021"",""2022"",""2023"",""2024""]","6","[]"
"serbia","塞尔维亚","ADM1","25","{""available"":false,""covered_regions"":0,""region_count"":25,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":25,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":25,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":25,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":25,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":25,""years"":[],""complete_latest_year"":""unavailable""}","unavailable","2","[]","0","[""官方区域失业率与空间分类待接入"",""当前地图层级缺少可直接对应的 LFS 就业率"",""制造业 GVA 比重待接入"",""national_admin 不进入 EU NUTS 正式排名""]"
"austria","奥地利","NUTS2","9","{""available"":true,""covered_regions"":9,""region_count"":9,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":9,""region_count"":9,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":9,""region_count"":9,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":9,""region_count"":9,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":9,""region_count"":9,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":9,""region_count"":9,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","manufacturing_gva_share","1","[""2021"",""2022"",""2023"",""2024""]","6","[]"
"croatia","克罗地亚","NUTS3","21","{""available"":true,""covered_regions"":21,""region_count"":21,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":21,""region_count"":21,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":true,""covered_regions"":21,""region_count"":21,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","{""available"":false,""covered_regions"":0,""region_count"":21,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":false,""covered_regions"":0,""region_count"":21,""years"":[],""complete_latest_year"":""unavailable""}","{""available"":true,""covered_regions"":21,""region_count"":21,""years"":[""2021"",""2022"",""2023"",""2024""],""complete_latest_year"":""2024""}","manufacturing_gva_share","1","[""2021"",""2022"",""2023"",""2024""]","4","[""当前地图层级缺少可直接对应的 LFS 失业率"",""当前地图层级缺少可直接对应的 LFS 就业率""]"
