country_id,region_id,region_name_zh,verified_project_count,high_confidence_count,medium_confidence_count,interpretation_boundary
"poland","poland_lower_silesian","下西里西亚省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_kuyavian_pomeranian","库亚维-滨海省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_lublin","卢布林省","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"poland","poland_lubusz","卢布斯卡省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_lodz","罗兹省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_lesser_poland","小波兰省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_masovian","马佐夫舍省","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"poland","poland_opole","奥波莱省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_subcarpathian","喀尔巴阡山省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_podlaskie","波德拉谢省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_pomeranian","滨海省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_silesian","西里西亚省","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"poland","poland_swietokrzyskie","圣十字省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_warmian_masurian","瓦尔米亚-马祖里省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_greater_poland","大波兰省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"poland","poland_west_pomeranian","西滨海省","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_budapest","布达佩斯","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"hungary","hungary_bacs_kiskun","巴奇-基什孔州","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"hungary","hungary_baranya","巴兰尼亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_bekes","贝凯什州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_borsod_abauj_zemplen","包尔绍德-奥包乌伊-曾普伦州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_csongrad_csanad","琼格拉德-乔纳德州","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"hungary","hungary_fejer","费耶尔州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
