ranking_id,country_id,region_id,indicator_id,year,value,unit,within_country_rank,within_country_count,ranking_type,interpretation_boundary
"poland_regional_population_2021_poland_lower_silesian","poland","poland_lower_silesian","regional_population","2021","2833557","人","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp","2021","49334.06","百万欧元","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp_per_capita","2021","17411","欧元","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_lower_silesian","poland","poland_lower_silesian","regional_population","2022","2822229","人","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp","2022","55243.76","百万欧元","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp_per_capita","2022","19575","欧元","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_lower_silesian","poland","poland_lower_silesian","regional_population","2023","2813919","人","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp","2023","62297.86","百万欧元","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp_per_capita","2023","22139","欧元","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_lower_silesian","poland","poland_lower_silesian","regional_population","2024","2805463","人","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp","2024","70200.23","百万欧元","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_lower_silesian","poland","poland_lower_silesian","regional_gdp_per_capita","2024","25023","欧元","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_population","2021","1969116","人","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp","2021","25403.57","百万欧元","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp_per_capita","2021","12901","欧元","11","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
