region_id,country_id,region_name_zh,region_name_en,region_name_local,admin_level,admin_code,parent_region_id,capital_or_main_city,region_type,is_v4_region,is_boundary_available,is_statistical_data_available,is_election_data_available,is_china_project_mapped,validation_manifest_file,manifest_status,expected_region_count,feature_count,nuts_code_count,region_id_candidate_count,detail_record_count,matched_region_count,unmatched_region_count,duplicate_region_id_count,duplicate_nuts_code_count,missing_geometry_count,manifest_detail_validation_status,region_id_final_matched,region_id_match_decision_status,region_id_match_evidence_status,license_checked,authoritative_topology_checked,public_display_ready,is_ready_for_display,data_status,source_status,last_updated,notes,region_code,region_name,local_name,level,nuts_adm_classification,geometry_source,geometry_version,geometry_source_url,geometry_license,topology_status,spatial_comparability
"poland_lower_silesian","poland","下西里西亚省","Lower Silesian Voivodeship","Wojewodztwo dolnoslaskie","ADM1","PL-02","","Wroclaw","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-02","Lower Silesian Voivodeship","Wojewodztwo dolnoslaskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_kuyavian_pomeranian","poland","库亚维-滨海省","Kuyavian-Pomeranian Voivodeship","Wojewodztwo kujawsko-pomorskie","ADM1","PL-04","","Bydgoszcz / Torun","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-04","Kuyavian-Pomeranian Voivodeship","Wojewodztwo kujawsko-pomorskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_lublin","poland","卢布林省","Lublin Voivodeship","Wojewodztwo lubelskie","ADM1","PL-06","","Lublin","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-06","Lublin Voivodeship","Wojewodztwo lubelskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_lubusz","poland","卢布斯卡省","Lubusz Voivodeship","Wojewodztwo lubuskie","ADM1","PL-08","","Gorzow Wielkopolski / Zielona Gora","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-08","Lubusz Voivodeship","Wojewodztwo lubuskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_lodz","poland","罗兹省","Lodz Voivodeship","Wojewodztwo lodzkie","ADM1","PL-10","","Lodz","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-10","Lodz Voivodeship","Wojewodztwo lodzkie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_lesser_poland","poland","小波兰省","Lesser Poland Voivodeship","Wojewodztwo malopolskie","ADM1","PL-12","","Krakow","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-12","Lesser Poland Voivodeship","Wojewodztwo malopolskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_masovian","poland","马佐夫舍省","Masovian Voivodeship","Wojewodztwo mazowieckie","ADM1","PL-14","","Warsaw","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-14","Masovian Voivodeship","Wojewodztwo mazowieckie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_opole","poland","奥波莱省","Opole Voivodeship","Wojewodztwo opolskie","ADM1","PL-16","","Opole","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-16","Opole Voivodeship","Wojewodztwo opolskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_subcarpathian","poland","喀尔巴阡山省","Subcarpathian Voivodeship","Wojewodztwo podkarpackie","ADM1","PL-18","","Rzeszow","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-18","Subcarpathian Voivodeship","Wojewodztwo podkarpackie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
"poland_podlaskie","poland","波德拉谢省","Podlaskie Voivodeship","Wojewodztwo podlaskie","ADM1","PL-20","","Bialystok","voivodeship","true","false","false","false","false","","not_started","0","0","0","0","0","0","0","0","0","0","not_started","false","not_started","not_started","false","false","false","false","待核验","人工整理","2026-08-02","v0.9 区域主键层第一版；仅建立 ADM1 元数据和稳定 region_id。真实边界、区域统计、区域选举和对华项目坐标尚未接入。","PL-20","Podlaskie Voivodeship","Wojewodztwo podlaskie","ADM1","ADM1 voivodeship; NUTS correspondence pending","Eurostat GISCO NUTS 2024 candidate","NUTS 2024","https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.html","Non-commercial research display candidate; attribution required; public display remains gated.","not_checked","pending_level_and_definition_alignment"
