scenario_id,country_slug,shock_value,baseline_score,scenario_score,score_change,status
"inflation_resurgence","poland","1","22","27","5","available"
"inflation_resurgence","poland","2","22","32","10","available"
"inflation_resurgence","poland","3","22","37","15","available"
"inflation_resurgence","poland","4","22","42","20","available"
"inflation_resurgence","poland","5","22","47","25","available"
"eu_funds_delay","poland","0.5","61.3","63.8","2.5","available"
"eu_funds_delay","poland","1","61.3","66.3","5","available"
"eu_funds_delay","poland","1.5","61.3","68.8","7.5","available"
"eu_funds_delay","poland","2","61.3","71.3","10","available"
"eu_funds_delay","poland","3","61.3","74.8","13.5","available"
"energy_price_shock","poland","10","41.5","42.8","1.3","available"
"energy_price_shock","poland","20","41.5","44","2.5","available"
"energy_price_shock","poland","30","41.5","45.3","3.8","available"
"energy_price_shock","poland","40","41.5","46.6","5.1","available"
"energy_price_shock","poland","50","41.5","47.9","6.4","available"
"germany_demand_slowdown","poland","-2","41.5","42","0.5","available"
"germany_demand_slowdown","poland","-5","41.5","42.8","1.3","available"
"germany_demand_slowdown","poland","-10","41.5","44.2","2.7","available"
"germany_demand_slowdown","poland","-15","41.5","45.5","4","available"
"germany_demand_slowdown","poland","-20","41.5","46.9","5.4","available"
"inflation_resurgence","hungary","1","34","39","5","available"
"inflation_resurgence","hungary","2","34","44","10","available"
"inflation_resurgence","hungary","3","34","49","15","available"
"inflation_resurgence","hungary","4","34","54","20","available"
"inflation_resurgence","hungary","5","34","59","25","available"
"eu_funds_delay","hungary","0.5","57.6","60.1","2.5","available"
"eu_funds_delay","hungary","1","57.6","62.6","5","available"
"eu_funds_delay","hungary","1.5","57.6","65.1","7.5","available"
"eu_funds_delay","hungary","2","57.6","67.6","10","available"
"eu_funds_delay","hungary","3","57.6","72.6","15","available"
"energy_price_shock","hungary","10","46.3","47.8","1.5","available"
"energy_price_shock","hungary","20","46.3","49.2","2.9","available"
"energy_price_shock","hungary","30","46.3","50.6","4.3","available"
"energy_price_shock","hungary","40","46.3","52","5.7","available"
"energy_price_shock","hungary","50","46.3","52.1","5.8","available"
"germany_demand_slowdown","hungary","-2","46.3","46.8","0.5","available"
"germany_demand_slowdown","hungary","-5","46.3","47.5","1.2","available"
"germany_demand_slowdown","hungary","-10","46.3","48.8","2.5","available"
"germany_demand_slowdown","hungary","-15","46.3","50","3.7","available"
"germany_demand_slowdown","hungary","-20","46.3","51.2","4.9","available"
"inflation_resurgence","czechia","1","15.5","20.5","5","available"
"inflation_resurgence","czechia","2","15.5","25.5","10","available"
"inflation_resurgence","czechia","3","15.5","30.5","15","available"
"inflation_resurgence","czechia","4","15.5","35.5","20","available"
"inflation_resurgence","czechia","5","15.5","40.5","25","available"
"eu_funds_delay","czechia","0.5","25.7","28.2","2.5","available"
"eu_funds_delay","czechia","1","25.7","30.7","5","available"
"eu_funds_delay","czechia","1.5","25.7","33.2","7.5","available"
"eu_funds_delay","czechia","2","25.7","35.7","10","available"
"eu_funds_delay","czechia","3","25.7","40.7","15","available"
"energy_price_shock","czechia","10","66.2","67.3","1.1","available"
"energy_price_shock","czechia","20","66.2","68.5","2.3","available"
"energy_price_shock","czechia","30","66.2","69.6","3.4","available"
"energy_price_shock","czechia","40","66.2","70.8","4.6","available"
"energy_price_shock","czechia","50","66.2","71.9","5.7","available"
"germany_demand_slowdown","czechia","-2","66.2","66.9","0.7","available"
"germany_demand_slowdown","czechia","-5","66.2","67.8","1.6","available"
"germany_demand_slowdown","czechia","-10","66.2","69.4","3.2","available"
"germany_demand_slowdown","czechia","-15","66.2","71","4.8","available"
"germany_demand_slowdown","czechia","-20","66.2","72.7","6.5","available"
"inflation_resurgence","slovakia","1","38","43","5","available"
"inflation_resurgence","slovakia","2","38","48","10","available"
"inflation_resurgence","slovakia","3","38","53","15","available"
"inflation_resurgence","slovakia","4","38","58","20","available"
"inflation_resurgence","slovakia","5","38","63","25","available"
"eu_funds_delay","slovakia","0.5","48.4","50.9","2.5","available"
"eu_funds_delay","slovakia","1","48.4","53.4","5","available"
"eu_funds_delay","slovakia","1.5","48.4","55.9","7.5","available"
"eu_funds_delay","slovakia","2","48.4","58.4","10","available"
"eu_funds_delay","slovakia","3","48.4","63.4","15","available"
"energy_price_shock","slovakia","10","55.2","56.4","1.2","available"
"energy_price_shock","slovakia","20","55.2","57.6","2.4","available"
