country_id,country_name_zh,geometry_ready,region_ids_matched,license_checked,attribution_ready,topology_checked,regional_data_ready,boundary_layer_ready,population_layer_ready,gdp_layer_ready,gdp_per_capita_layer_ready,unemployment_layer_ready,employment_layer_ready,manufacturing_layer_ready,population_change_layer_ready,gdp_per_capita_change_layer_ready,unemployment_change_layer_ready,project_layer_ready,approved_layer_count,public_display_blocker
"poland","波兰","true","true","true","true","true","true","true","true","true","true","false","true","true","true","true","false","true","9","区域失业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable"
"hungary","匈牙利","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","false","true","8","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable"
"czechia","捷克","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","false","true","8","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable"
"slovakia","斯洛伐克","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","false","true","8","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable"
"germany","德国","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","11",""
"romania","罗马尼亚","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","false","true","8","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable"
"slovenia","斯洛文尼亚","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","11",""
"serbia","塞尔维亚","true","true","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","0","official_boundary_correspondence_and_regional_comparability_pending；regional_boundary:official_boundary_correspondence_and_regional_comparability_pending；regional_population:official_boundary_correspondence_and_regional_comparability_pending；regional_gdp:official_boundary_correspondence_and_regional_comparability_pending；regional_gdp_per_capita:official_boundary_correspondence_and_regional_comparability_pending；regional_unemployment_rate:official_boundary_correspondence_and_regional_comparability_pending；regional_employment_rate:official_boundary_correspondence_and_regional_comparability_pending；regional_manufacturing_share:official_boundary_correspondence_and_regional_comparability_pending；regional_population_change_pct:official_boundary_correspondence_and_regional_comparability_pending；regional_gdp_per_capita_change_pct:official_boundary_correspondence_and_regional_comparability_pending；regional_unemployment_change_pp:official_boundary_correspondence_and_regional_comparability_pending；china_project_locations:official_boundary_correspondence_and_regional_comparability_pending"
"austria","奥地利","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","false","10","对华项目区域参考: no_high_or_medium_confidence_project_reference"
"croatia","克罗地亚","true","true","true","true","true","true","true","true","true","true","false","false","true","true","true","false","false","7","区域失业率: complete_regional_observations_unavailable；区域就业率: complete_regional_observations_unavailable；区域失业率变化（2021–2024）: complete_regional_observations_unavailable；对华项目区域参考: no_high_or_medium_confidence_project_reference"
